Requirement_ID,Requirement_Text,Source,Section,Domain
REQ_00050,"ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 19/204    b) As soon as the safe radio connection is set -up, the on -board shall send the  message Initiation of communication session to the trackside.",SUBSET-026-3 v360.pdf,,
REQ_00051,"c) As soon as the trackside receives the information, it shall send the system version.",SUBSET-026-3 v360.pdf,,
REQ_00052,"d) When the on -board receives the system version it shall consider the  communication session established and:   If one of  its supported system versions is compatible with the one sent by  trackside, it shall send a session established report, including its  supported  system versions, to the trackside.",SUBSET-026-3 v360.pdf,,
REQ_00053," If none of its supported system versions is compatible with the one sent by  trackside, it shall send a version independent message indicating “No  compatible version supported”.",SUBSET-026-3 v360.pdf,,
REQ_00054,It shall inform the driver and shall terminate the  communication session.,SUBSET-026-3 v360.pdf,,
REQ_00055,"e) When the trackside receives the session established report or the information tha t  no compatible system version is supported by the on -board, it shall consider the  communication session established.",SUBSET-026-3 v360.pdf,,
REQ_00056,"at any time from the  first request the set -up of a safe radio connection to the reception of the system  version from trackside) , the on -board shall no longer apply 3.5.3.7 a), 3.5.3.7 b) and  3.5.3.7 d) (i.e.",SUBSET-026-3 v360.pdf,,
REQ_00057,it aborts the process of establ ishing it) and shall release the safe radio  connection (if any) if at least one of the following conditions is met:  a) The driver closes the desk during Start of Mission  b) End of Mission is performed  c) An order to terminate the communication session is received from trackside  ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 20/204    d) The train passes with its front end a level transition border from a level 2/3 area to  an area where level 2/3 operation is not supported  e) An order to establish a communication session with a different RBC is received from  trackside and the order does not request to contact an Accepting RBC  f) The train passes an RBC/RBC border with its front end  g) The train front passes the start of an announced radio hole  h) Regards RIUs only: Level 1 is left  3.5.3.9 Intentionally deleted.,SUBSET-026-3 v360.pdf,,
REQ_00058,"Figure 4: Intentionally deleted  3.5.3.11 If the driver selects “Use of EIRENE short number” to contact the RBC, the on -board  shall not use the stored RBC ID/phone number, if any.",SUBSET-026-3 v360.pdf,,
REQ_00059,"3.5.3.11.2 Justification: In case of EIRENE short number selection by the driver, the termination  of the connection if the “most appropriate RBC” does not match the one previously  stored on-board (EURORADIO functionality) must not occur.",SUBSET-026-3 v360.pdf,,
REQ_00060,"3.5.3.13 An order to contact the RBC may contain a special value for the RBC identity indicating  that the on -board shall contact the last known RBC (i.e., using the stored RBC  ID/phone number, if any); the phone number in dicated in the order shall be ignored by  the on-board equipment.",SUBSET-026-3 v360.pdf,,
REQ_00061,"3.5.3.13.1 If there is no RBC ID/ phone number stored on -board, the order to contact the RBC  shall be ignored.",SUBSET-026-3 v360.pdf,,
REQ_00062,3.5.3.15 An order to contact the RBC may contain a special value for the RBC phone number  indicating that the on-board shall use the on-board short number.,SUBSET-026-3 v360.pdf,,
REQ_00063,"3 Order to contact RBC  RBC ID + RBC phone number  Contact given RBC by using  RBC ID and the RBC phone  number    3.5.4 Maintaining a communication session  3.5.4.1 When a communication session is established , in case of a loss of the safe radio  connection, i.e., if the  disconnection has not been ordered (see 3.5.5.1), the involved  entities shall consider the communication session still established for a defined time.",SUBSET-026-3 v360.pdf,,
REQ_00064,The defined time shall start as soon as EURORADIO has indicated the loss of the safe  radio connection.,SUBSET-026-3 v360.pdf,,
REQ_00065,"3.5.4.2 When EURORADIO indicates the loss of the safe radio connection, the ERTMS/ETCS  on-board equipment shall immediately try to set-up a new safe radio connection.",SUBSET-026-3 v360.pdf,,
REQ_00066,"3.5.4.2.1 If the safe radio connection is not re -established after the defined time (as defined in  A.3.1), b oth, on -board equipment and trackside, shall consider the session as  terminated.",SUBSET-026-3 v360.pdf,,
REQ_00067,"3.5.4.3 The attempts shall be repeated, until at least one of the following conditions is met:   The safe radio connection is set-up.",SUBSET-026-3 v360.pdf,,
REQ_00068,ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 22/204    3.5.4.4 Exception to 3.5.4.2 and 3.5.4.3:  the on-board equipment shall not try to set up a new  safe radio connection and shall stop any ongoing attempts  if the train front is inside an  announced radio hole (see 3.12.1.3).,SUBSET-026-3 v360.pdf,,
REQ_00069,The on -board equipment shall try to set it up  again when the train front reaches the end of the radio hole.,SUBSET-026-3 v360.pdf,,
REQ_00070,"3.5.4.5 In case a message has to be sent during the loss of the safe radio connection, this  message shall be considered as sent.",SUBSET-026-3 v360.pdf,,
REQ_00071,"3.5.5 Terminating a communication session  3.5.5.1 The termination of a communication session shall be initiated only by t he on-board and  in the following cases:  a) If an order is received from trackside (RBC , RIU  or balise groups) (see section s  3.5.3.5 and 3.5.3.6 concerning the content of the order).",SUBSET-026-3 v360.pdf,,
REQ_00072,"3.5.5.2 In case a session is  established, t he on -board equipment shall terminate the  communication session according to the following steps:  a) The on -board equipment shall send a Termination of communication session  message.",SUBSET-026-3 v360.pdf,,
REQ_00073,"b) As soon as this information is received, the trackside shall  consider the  communication session terminated and send an acknowledgement to the on-board.",SUBSET-026-3 v360.pdf,,
REQ_00074,c) When the acknowledgement is received the on -board shall consider the  communication session terminated and request the release of the safe radio  connection with trackside.,SUBSET-026-3 v360.pdf,,
REQ_00075,ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 23/204    On-Board Trackside Release of the safe connection According to EURORADIO specifications Termination of communication session Acknowledgement of termination of communication session Communication session terminated for trackside Communication session terminated for on-board   Figure 5: Termination of a communication session    3.5.5.3 No further message shall be sent by the on -board after the message Termination of  communication session.,SUBSET-026-3 v360.pdf,,
REQ_00076,"3.5.5.3.1 Exception: In case a communication session is estab lished and no acknowledgement  is received within a fixed waiting time ( see Appendix A .3.1) after sending the  “Termination of communication session” message, the message shall be repeated with  the fixed waiting time after each repetition.",SUBSET-026-3 v360.pdf,,
REQ_00077,"3.5.5.3.2 After a defined nu mber of repetitions ( see Appendix A.3.1), and if no acknowledgment  is received within the fixed waiting time from the time of the last sending of  “Termination of communication session”, the ERTMS/ETCS onboard equipment shall  consider the communication session terminated.",SUBSET-026-3 v360.pdf,,
REQ_00078,3.5.5.4 No further message shall be sent by the trackside after the message  Acknowledgement of the termination of communication session.,SUBSET-026-3 v360.pdf,,
REQ_00079,3.5.5.6 Messages from the RBC received onboard after the message “Termination of  communication session” has been sent shall be ignored with the exception of the  Acknowledgement of the termination of communication session.,SUBSET-026-3 v360.pdf,,
REQ_00080,"3.5.6 Registering to the Radio Network  3.5.6.1 ERTMS/ETCS on-board equipment shall order the registration of its connected Mobile  Terminal(s) to a Radio Network:  a) At power-up  ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 24/204    b) Following driver entry of a new Radio Network identity  c) If ordered from the trackside  3.5.6.2 When power ed-off, ERTMS/ETCS on -board equipment shall memorize the last  received Radio Network identity (from trackside or from driver) and shall use it when  powered-up again.",SUBSET-026-3 v360.pdf,,
REQ_00081,"after a System Failure or at  very first power -up), this latter shall nevertheless order the registration of its Mobile  Terminal(s) to a default Radio Network.",SUBSET-026-3 v360.pdf,,
REQ_00082,"3.5.6.5 On reception of the trackside order, ERTMS/ETCS on -board equipment shall  immediately order the Radio Network registration of each Mobile Terminal that fulfils  the following conditions:  a) it is not yet registered to the ordered Radio Network, AND  b) it is not used for an established communication session, AND  c) no safe radio connection is being set-up  3.5.6.6 If a Mobile Terminal is not currently registered to the Radio Network ordered by  trackside and if one of the conditions b) or c) is not fulfilled, ERTMS/ETCS on -board  equipment shall initiate the Radio Network registration once communication session is  terminated and safe radio connection is released.",SUBSET-026-3 v360.pdf,,
REQ_00083,"3.5.6.7 If no Mobile Terminal is duly registered to a Radio Networ k, any order to contact an  RBC or an RIU received from trackside shall be rejected by ERTMS/ETCS on -board  equipment.",SUBSET-026-3 v360.pdf,,
REQ_00084,3.5.7 Safe Radio Connection Indication  3.5.7.1 The ERTMS/ETCS on-board equipment shall inform the driver about the status of the  safe radio connection.,SUBSET-026-3 v360.pdf,,
REQ_00085,"ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 25/204    3.5.7.2 In addition, the ERTMS/ETCS on -board equipment shall use a “connection status”  timer (see Appendix A.3.1), in order to manage properly the transitions to the indication  status “Connection Lost/Set-Up failed”.",SUBSET-026-3 v360.pdf,,
REQ_00086,"3.5.7.3 The ERTMS/ETCS on -board equipment shall start the “connection status” timer as  soon as the first request to set-up a safe radio connection with the relevant RBC/RIU is  sent:  a) for what regards the session establishment, see items b), c), d), e) in 3.5.3.4.",SUBSET-026-3 v360.pdf,,
REQ_00087,"b) for what regards maintaining a communication session, see 3.5.4.2 and 3.5.4.4  3.5.7.4 If the “connection status” timer is ongoing, it shall be stopped if the requests to set -up  a safe radio connection are stopped with the relevant RBC/RIU.",SUBSET-026-3 v360.pdf,,
REQ_00088,3.5.7.5 The ERTMS/ETCS on-board equ ipment shall execute the transitions between the  different indication statuses of the safe radio connection with the relevant RBC/RIU as  described in Table 1 according to the conditions in Table 2 (see se ction 4.6.1 for  details about the symbols).,SUBSET-026-3 v360.pdf,,
REQ_00089,"No  Connection  < 3  -p2-  < 5, 6, 7  -p1-  1, 2 >  -p2-  Connection  Lost /  Set-Up failed  <2  -p2-  4 >  -p1-  4 >  -p1-  Connection  Up  Table 1: Transitions between the indication statuses of the safe radio connection    ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 26/204    Condition  Id  Content of the conditions  [1] (a Start of mission procedure is ongoing) AND (the final attempt to set-up the safe  radio connection failed)  [2] (the “connection status” timer expires)  [3] (no Start of mission procedure is ongoing) AND (the requests to set-up a safe radio  connection are stopped with the relevant RBC/RIU for reason other than the  successful set-up)  [4] (the safe radio connection is set-up)  [5] (the safe radio connection is released)  [6] (the safe radio connection is lost) AND (the requests to set -up a safe radio  connection are stopped with the relevant RBC/RIU  for reason other than the  successful set-up)  [7] (the safe radio connection is lost) AND (the train front is inside an announced radio  hole)  Table 2: Transition conditions for the indication statuses of the safe radio connection  3.5.7.6 For the case of an RBC/RBC transition, the safe radio connection indicated to the  driver shall switch from the indication status of the safe radio co nnection with the  Handing over RBC to the one with the Accepting RBC as soon as one of the following  conditions is met:  a) the ERTMS/ETCS on-board equipment sends a position report directly to the  Accepting RBC with its maximum safe front end having passed th e border, see  3.15.1.3.5 (i.e.",SUBSET-026-3 v360.pdf,,
REQ_00090,"3.5.7.7 For the case of safe radio connection with RIU’s, the safe radio connection indicated to  the driver shall be the one related to the current infill area.",SUBSET-026-3 v360.pdf,,
REQ_00091,"3.6.1.4 Balise groups, which are marked as unlinked, shall never be used as LRBG.",SUBSET-026-3 v360.pdf,,
REQ_00092,the side of the  active cab shall be considered as the front of the train.,SUBSET-026-3 v360.pdf,,
REQ_00093,"If no cab is active, the train  orientation shall be as when a cab was last active.",SUBSET-026-3 v360.pdf,,
REQ_00094,3.6.2 Location of Data Transmitted to the On-Board Equipment  3.6.2.1 Data Transmitted by Balises  3.6.2.1.1 All location and profile data transmitted by a balise shall refer to the location reference  and orientation of the balise group to which the balise belongs.,SUBSET-026-3 v360.pdf,,
REQ_00095,3.6.2.1.2 Exception: Regarding infill information the section 3.6.2.3.1 shall apply.,SUBSET-026-3 v360.pdf,,
REQ_00096,3.6.2.2 Data Transmitted by Radio from RBC  3.6.2.2.1 All location and profile data transmitted from the RBC shall refer to the location  reference and orientation of the LRBG given in the same message.,SUBSET-026-3 v360.pdf,,
REQ_00097,3.6.2.2.2 For the LRBG the following requirements have to be met:  a) The on -board equipment shall use the last balise group passed as a reference  when reporting its position to the RBC (in the following termed as LRBGONB).,SUBSET-026-3 v360.pdf,,
REQ_00098,"Only    balise groups marked as linked and contained in the previously received linking  information, if linking information is used on-board   or    the last balise group not marked as unlinked, if no linking was used when this  balise group was passed  shall be regarded.",SUBSET-026-3 v360.pdf,,
REQ_00099,b) The RBC shall use a balise group which was reported by the on -board equipment  as a reference (in the following termed as LRBG RBC).,SUBSET-026-3 v360.pdf,,
REQ_00100,c) The on-board equipment shall be able to accept information referring to one of at  least eight LRBGONB last reported to the RBC.,SUBSET-026-3 v360.pdf,,
REQ_00101,"3.6.2.2.2.1 Exception to a) : When on -board position is unknown or when position data has  been deleted during SoM procedure , the on -board equipment shall use an LRBG  identifier set to ""unknown"" until the onboard has  validated its position again by passing  a balise group.",SUBSET-026-3 v360.pdf,,
REQ_00102,"ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 29/204    3.6.2.2.2.2 Exception to b): When the RBC has received from the onboard an unknown position  (as per 3.6.2.2.2.1)  or during SoM procedure an invalid position which it is not able to  confirm, the RBC shall use an LRBG identifier set to ""unknown"" until it receives a  position report from the onboard having validated its position by passing a balise  group.",SUBSET-026-3 v360.pdf,,
REQ_00103,"3.6.2.2.2.3 Regarding c):  From the time it has reported an unknown position, or an  invalid  position during SoM procedure, to the time it has received from the RBC a message  with an LRBG not set to “unknown”, the on -board equipment shall also be able to  accept messages from the RBC containing LRBG “unknown”.",SUBSET-026-3 v360.pdf,,
REQ_00104,3.6.2.3 Data transmitted as Infill information  3.6.2.3.1 All location and profile data transmitted as infill information  shall refer to the location  reference of the balise group at the next main signal (identified by the i nfill information)  and to the orientation given by the infill device.,SUBSET-026-3 v360.pdf,,
REQ_00105,"Balise group providing linking information Linking Information Balise Groups transmitting  Infill Information Balise group at Main Signal Location  reference   Figure 10: Location referencing of infill information transmitted by balise groups    3.6.2.3.1.2 Note: The  orientation of infill information given by an infill device is defined in  reference to (see also section 3.9):   In case of a balise group, the orientation of the balise group sending the infill  information    In case of loop, the orientation indicated by the End Of Loop Marker   In case of radio, the orientation of the LRBG indicated in the message    3.6.2.4 Data transmitted by Loop  ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 31/204    3.6.2.4.1 It shall be possible to transmit non -infill location data by loop, which refers to a balise  group as location reference.",SUBSET-026-3 v360.pdf,,
REQ_00106,3.6.3 Validity direction of transmitted Information  3.6.3.1 General  3.6.3.1.1 The direction for which transmitted information is valid shall refer to:  a) the direction of the LRBG for information sent by radio  b) the direction of the balise group sending the information.,SUBSET-026-3 v360.pdf,,
REQ_00107,3.6.3.1.2 Data transmitted to the on -board equipment (by balise or radi o) shall be identified as  being valid for  a) both directions  b) the nominal direction  c) the reverse direction  of the referenced balise group.,SUBSET-026-3 v360.pdf,,
REQ_00108,"3.6.3.1.3 When receiving information from any transmission medium, the ERTMS/ETCS on- board equipment shall only take into a ccount information valid for its orientation.",SUBSET-026-3 v360.pdf,,
REQ_00109,Other  information shall be ignored.,SUBSET-026-3 v360.pdf,,
REQ_00110,"Exception: for SL , PS  and SH engines, balise group  crossing direction shall be considered.",SUBSET-026-3 v360.pdf,,
REQ_00111,"3.6.3.1.3.1 If the train position is unknown, data received from any transmission medium valid  for one direction only (nominal or reverse) shall be rejected by the onboard equipment.",SUBSET-026-3 v360.pdf,,
REQ_00112,Data valid for both directions shall be evaluated (see section 4.8).,SUBSET-026-3 v360.pdf,,
REQ_00113,all data which are only valid for one direction (nominal or reverse) ) shall be  rejected by the ERTMS/ETCS on-board equipment.,SUBSET-026-3 v360.pdf,,
REQ_00114,Data valid for both directions shall  be evaluated (see section 4.8).,SUBSET-026-3 v360.pdf,,
REQ_00115,"3.6.3.1.4.1 Exception: if not rejected due to balise group message consistency check (see  3.16.2.4.4.1 and 3.16.2.5.1.1), data to be forwarded to a National System (see section  3.15.6) shall be accepted.",SUBSET-026-3 v360.pdf,,
