Requirement_ID,Requirement_Text,Source,Section,Domain,Suggested_Category,Final_Category
REQ_00030,3.4.4.3.3 Unlinked balise groups shall always contain the unlinked balise group qualifier.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00031,"3.4.4.4 Rules related to linking 3.4.4.4.1 When no linking information is used on -board, all balise groups shall be taken into account.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00032,"3.4.4.4.2 When linking information is used on -board, only balise groups marked as linked and included in the linking information and balise groups marked as unlinked shall be taken into account.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00034,3.4.4.4.3 The on-board equipment shall accept a balise group marked as linked and included in the linking information (i.e.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00035,"3.4.4.4.4 In case of a balise group containing repositioning information, the first possible location shall start from the previously linked balise group.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00036,"3.4.4.4.5 The on-board equipment shall expect balise groups one by one (i.e., it shall supervise only one expectation window at a time) according to the order given by linking information.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00037,"3.4.4.4.6 The ERTMS/ETCS on -board equipment shall stop expecting a balise group and shall expect the next one announced in the linking information (if any) when: a) the balise group is found inside its expectation window b) a linking consistency error is found, see 3.16.2.3.1 3.4.4.4.6.1 Linking consistency error due to early reception of balise group expected later (see 3.16.2.3.1 c)): if the balise group found is the next one announced in the linking information, the ERTMS/ETCS on -board equipment shall check its linking consistency and apply again clause 3.4.4.4.6, i.e.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00038,3.5.2.4 The ERTMS/ETCS on -board equipment shall be able to manage simultaneous communication sessions with at least two different entities.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00039,3.5.3.4 The on-board shall establish a communication session a) At Start of Mission (only if level 2 or 3).,SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00041,3.5.3.5 The order to contact an RBC shall include a) The identity of the RBC.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00042,"3.5.3.5.2 If the ERTMS/ETCS on -board equipment has to establish a communication session with an RBC whilst in session with another RBC, the existing communication session shall be terminated (see 3.5.5.2 for details) and the new one shall be established.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00043,Exception: the order to contact an Accepting RBC shall not terminate the communication session with the Handing Over RBC.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00044,3.5.3.5.3 The order to contact an Accepting RBC shall be part of the RBC transition order and shall include: a) The identity of the Accepting RBC.,SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00045,3.5.3.6 The order to contact a Radio Infill Unit shall include a) The identity of the Radio Infill Unit b) The telephone number of the Radio Infill Unit c) The action to be performed (establish/terminate the session).,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00046,3.5.3.7 The establishment of a communication session shall be performed ac cording to the following steps: a) The on-board shall request the set-up of a safe radio connection with the trackside.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00047,"If this request is part of an ongoing Start of Mission procedure or is related to the establishment of a communication session due to condition 3.5.3.4 c ), it shall be repeated until successful or a defined number of times (see Appendix A.3.1).",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00048,"5.3.4 c), it shall be repeated until successful.",SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00049,A request shall be repeated immediately after EURORADIO has indicated that setting up the safe radio connection has failed.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00051,"c) As soon as the trackside receives the information, it shall send the system version.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00052,"d) When the on -board receives the system version it shall consider the communication session established and:  If one of its supported system versions is compatible with the one sent by trackside, it shall send a session established report, including its supported system versions, to the trackside.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00053," If none of its supported system versions is compatible with the one sent by trackside, it shall send a version independent message indicating “No compatible version supported”.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00054,It shall inform the driver and shall terminate the communication session.,SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00055,"e) When the trackside receives the session established report or the information tha t no compatible system version is supported by the on -board, it shall consider the communication session established.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00056,"at any time from the first request the set -up of a safe radio connection to the reception of the system version from trackside) , the on -board shall no longer apply 3.5.3.7 a), 3.5.3.7 b) and 3.5.3.7 d) (i.e.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00060,"3.5.3.13 An order to contact the RBC may contain a special value for the RBC identity indicating that the on -board shall contact the last known RBC (i.e., using the stored RBC ID/phone number, if any); the phone number in dicated in the order shall be ignored by the on-board equipment.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00061,"3.5.3.13.1 If there is no RBC ID/ phone number stored on -board, the order to contact the RBC shall be ignored.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00062,3.5.3.15 An order to contact the RBC may contain a special value for the RBC phone number indicating that the on-board shall use the on-board short number.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00063,"3 Order to contact RBC RBC ID + RBC phone number Contact given RBC by using RBC ID and the RBC phone number 3.5.4 Maintaining a communication session 3.5.4.1 When a communication session is established , in case of a loss of the safe radio connection, i.e., if the disconnection has not been ordered (see 3.5.5.1), the involved entities shall consider the communication session still established for a defined time.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00064,The defined time shall start as soon as EURORADIO has indicated the loss of the safe radio connection.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00065,"3.5.4.2 When EURORADIO indicates the loss of the safe radio connection, the ERTMS/ETCS on-board equipment shall immediately try to set-up a new safe radio connection.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00066,"3.5.4.2.1 If the safe radio connection is not re -established after the defined time (as defined in A.3.1), b oth, on -board equipment and trackside, shall consider the session as terminated.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00067,"3.5.4.3 The attempts shall be repeated, until at least one of the following conditions is met:  The safe radio connection is set-up.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00069,The on -board equipment shall try to set it up again when the train front reaches the end of the radio hole.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00070,"3.5.4.5 In case a message has to be sent during the loss of the safe radio connection, this message shall be considered as sent.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00071,"3.5.5 Terminating a communication session 3.5.5.1 The termination of a communication session shall be initiated only by t he on-board and in the following cases: a) If an order is received from trackside (RBC , RIU or balise groups) (see section s 3.5.3.5 and 3.5.3.6 concerning the content of the order).",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00072,"3.5.5.2 In case a session is established, t he on -board equipment shall terminate the communication session according to the following steps: a) The on -board equipment shall send a Termination of communication session message.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00073,"b) As soon as this information is received, the trackside shall consider the communication session terminated and send an acknowledgement to the on-board.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00074,c) When the acknowledgement is received the on -board shall consider the communication session terminated and request the release of the safe radio connection with trackside.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00076,"3.5.5.3.1 Exception: In case a communication session is estab lished and no acknowledgement is received within a fixed waiting time ( see Appendix A .3.1) after sending the “Termination of communication session” message, the message shall be repeated with the fixed waiting time after each repetition.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00077,"3.5.5.3.2 After a defined nu mber of repetitions ( see Appendix A.3.1), and if no acknowledgment is received within the fixed waiting time from the time of the last sending of “Termination of communication session”, the ERTMS/ETCS onboard equipment shall consider the communication session terminated.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00078,3.5.5.4 No further message shall be sent by the trackside after the message Acknowledgement of the termination of communication session.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00079,3.5.5.6 Messages from the RBC received onboard after the message “Termination of communication session” has been sent shall be ignored with the exception of the Acknowledgement of the termination of communication session.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00081,"after a System Failure or at very first power -up), this latter shall nevertheless order the registration of its Mobile Terminal(s) to a default Radio Network.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00082,"3.5.6.5 On reception of the trackside order, ERTMS/ETCS on -board equipment shall immediately order the Radio Network registration of each Mobile Terminal that fulfils the following conditions: a) it is not yet registered to the ordered Radio Network, AND b) it is not used for an established communication session, AND c) no safe radio connection is being set-up 3.5.6.6 If a Mobile Terminal is not currently registered to the Radio Network ordered by trackside and if one of the conditions b) or c) is not fulfilled, ERTMS/ETCS on -board equipment shall initiate the Radio Network registration once communication session is terminated and safe radio connection is released.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00083,"3.5.6.7 If no Mobile Terminal is duly registered to a Radio Networ k, any order to contact an RBC or an RIU received from trackside shall be rejected by ERTMS/ETCS on -board equipment.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00084,3.5.7 Safe Radio Connection Indication 3.5.7.1 The ERTMS/ETCS on-board equipment shall inform the driver about the status of the safe radio connection.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00086,"3.5.7.3 The ERTMS/ETCS on -board equipment shall start the “connection status” timer as soon as the first request to set-up a safe radio connection with the relevant RBC/RIU is sent: a) for what regards the session establishment, see items b), c), d), e) in 3.5.3.4.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00087,"b) for what regards maintaining a communication session, see 3.5.4.2 and 3.5.4.4 3.5.7.4 If the “connection status” timer is ongoing, it shall be stopped if the requests to set -up a safe radio connection are stopped with the relevant RBC/RIU.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00090,"3.5.7.7 For the case of safe radio connection with RIU’s, the safe radio connection indicated to the driver shall be the one related to the current infill area.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00091,"3.6.1.4 Balise groups, which are marked as unlinked, shall never be used as LRBG.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00092,the side of the active cab shall be considered as the front of the train.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00093,"If no cab is active, the train orientation shall be as when a cab was last active.",SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00094,3.6.2 Location of Data Transmitted to the On-Board Equipment 3.6.2.1 Data Transmitted by Balises 3.6.2.1.1 All location and profile data transmitted by a balise shall refer to the location reference and orientation of the balise group to which the balise belongs.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00095,3.6.2.1.2 Exception: Regarding infill information the section 3.6.2.3.1 shall apply.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00096,3.6.2.2 Data Transmitted by Radio from RBC 3.6.2.2.1 All location and profile data transmitted from the RBC shall refer to the location reference and orientation of the LRBG given in the same message.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00097,3.6.2.2.2 For the LRBG the following requirements have to be met: a) The on -board equipment shall use the last balise group passed as a reference when reporting its position to the RBC (in the following termed as LRBGONB).,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00098,"Only  balise groups marked as linked and contained in the previously received linking information, if linking information is used on-board or  the last balise group not marked as unlinked, if no linking was used when this balise group was passed shall be regarded.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00099,b) The RBC shall use a balise group which was reported by the on -board equipment as a reference (in the following termed as LRBG RBC).,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00100,c) The on-board equipment shall be able to accept information referring to one of at least eight LRBGONB last reported to the RBC.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00101,"3.6.2.2.2.1 Exception to a) : When on -board position is unknown or when position data has been deleted during SoM procedure , the on -board equipment shall use an LRBG identifier set to ""unknown"" until the onboard has validated its position again by passing a balise group.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00103,"3.6.2.2.2.3 Regarding c): From the time it has reported an unknown position, or an invalid position during SoM procedure, to the time it has received from the RBC a message with an LRBG not set to “unknown”, the on -board equipment shall also be able to accept messages from the RBC containing LRBG “unknown”.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00104,3.6.2.3 Data transmitted as Infill information 3.6.2.3.1 All location and profile data transmitted as infill information shall refer to the location reference of the balise group at the next main signal (identified by the i nfill information) and to the orientation given by the infill device.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00106,3.6.3 Validity direction of transmitted Information 3.6.3.1 General 3.6.3.1.1 The direction for which transmitted information is valid shall refer to: a) the direction of the LRBG for information sent by radio b) the direction of the balise group sending the information.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00107,3.6.3.1.2 Data transmitted to the on -board equipment (by balise or radi o) shall be identified as being valid for a) both directions b) the nominal direction c) the reverse direction of the referenced balise group.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00108,"3.6.3.1.3 When receiving information from any transmission medium, the ERTMS/ETCS on- board equipment shall only take into a ccount information valid for its orientation.",SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00109,Other information shall be ignored.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00110,"Exception: for SL , PS and SH engines, balise group crossing direction shall be considered.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00111,"3.6.3.1.3.1 If the train position is unknown, data received from any transmission medium valid for one direction only (nominal or reverse) shall be rejected by the onboard equipment.",SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00112,Data valid for both directions shall be evaluated (see section 4.8).,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00113,all data which are only valid for one direction (nominal or reverse) ) shall be rejected by the ERTMS/ETCS on-board equipment.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00115,"3.6.3.1.4.1 Exception: if not rejected due to balise group message consistency check (see 3.16.2.4.4.1 and 3.16.2.5.1.1), data to be forwarded to a National System (see section 3.15.6) shall be accepted.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00117,c) Distances shall be given as unsigned incremental values representing the distance between value(n) and value(n-1).,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00118,"d) The last value (n) transmitted shall be valid for an unlimited distance unless value(n) represents a special ""end of profile"" value.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00121,b) For distance (1) the previously received data shall be used.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00123,"a) Distance to the start of each element (value(n) for length(n)) shall be given as unsigned incremental values , each increment representin g the distance between starts of element (n) and element (n-1).",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00124,"b) For distance (1) the previously received data (or initial data/default values, see section 3.7) shall be used.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00125,"3.6.3.2.5 It shall be possible for the RBC to shift the location reference, e.g., after a change of train orientation or running direction.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00127,"3.6.4 Train Position Confidence Interval and Relocation 3.6.4.1 All location related information transmitted from trackside equipment shall be used by the on -board equipment taking into account the confidence interval to the train position, if required for safe operation.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00128,3.6.4.2 The confidence interval to the train position shall refer to the distance to the LRBG and shall take into account a) On-board over-reading amount and under-reading amount (odometer accuracy plus the error in detection of the balise group location reference) b) The location accuracy of the LRBG.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00129,3.6.4.2.1 Distance information received from trackside shall be evaluated on -board as nominal information (without taking into account any tolerances).,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00130,"3.6.4.2.3 The value of the Location Accuracy shall be determined by Linking information if available, if not, by the correspondin g National Value, or the corresponding Default Value if the National Value is not applicable.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00131,"3.6.4.3 When another balise group becomes the LRBG or when evaluating (see section 4.8) location related trackside information, which is referred to a previously received balise group different from the LRBG, all the location related information shall be relocated by subtracting from the distances that are counted from the reference balise group of the location related information: a) the distance between the reference balise group of the location related information and the LRBG, retrieved from linking information if it is available and it includes both the reference balise group and the LRBG, OR b) in all other cases, the estimated travelled distance between the reference balis e group of the location related information and the LRBG.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00133,"3.6.4.6 The estimated front end shall be used when supervising location information, unless stated otherwise.",SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00134,"The ERTMS/ETCS on -board equipment shall temporarily apply by analogy clauses 3.6.4.2, 3.6.4.2.1, 3.6.4.2.3 and 3.6.",SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00135,3.6.4.7.2 If another balise group marked as unlinked is received before the additional confidence interval is deleted: a) the additional confidence interval shall be reset in relation to this new balise group marked as unlinked b) the location related information referred to the previous balise group marked as unlinked shall be relocated by subtracting the estim ated travelled distance between both balise groups from the distances that are counted from this previous balise group marked as unlinked.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00136,3.6.5 Position Reporting to the RBC 3.6.5.1 General 3.6.5.1.1 The position shall refer to the front end of the respective engine with regards to the train orientation.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00137,3.6.5.1.2 The position report shall contain at least the following position and direction data a) The distance between the LRBG and the estimated front end of the train.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00138,3.6.5.1.4 The on-board equipment shall send position reports as requested by the RBC in the position report parameters.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00139,"In addition, it shall also send a position report if at least one of the events listed hereafter occurs: a) The train reaches standstill, if applicable to the current mode.",SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00140,"3.6.5.1.4.1 If the position report results from one or more events listed in 3.6.5.1.4, its content shall reflect the consequences of these events.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00141,"3.6.5.1.5 For the position report parameters requested by the RBC the following possibilities shall be available, individually or in combination a) Periodically in time.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00142,3.6.5.1.7 The given position report parameters shall be valid until new parameter s are given from the RBC.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00143,"3.6.5.1.8 The mode and level reported in a position report shall be consistent (e.g., no mode that relates to the previous level).",SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00144,3.6.5.2 Report of Train Rear End Position for Level 3 3.6.5.2.1 Train integrity information shall be given by external device or by driver.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00145,3.6.5.2.2 Driver input of train integrity shall only be permitted at standstill.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00147,3.6.5.2.4 The safe train length information shall represent the distance between the min safe rear end (by subtracting the train length from the min.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00148,3.6.5.2.5 The safe train length information shall be re -calculated for e very position report using the same last value of min safe rear end position until a new min safe rear end position is established on-board taking into account the time to detect train integrity.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00150,The display of the geographical position shall also be stopped on driver request.,SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00151,3.6.6.2 The resolution of the position indication shall be 1 metre (sufficient to allow the driver to report the train position when communicating with the signalman).,SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00153,3.6.6.4 Geographical position information shall always use a balise group as geographical position reference balise group and if needed an offset from that balise group .,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00154,"A geographical position reference balise group shall be either: a) part of the last reported balise groups memorised on -board, in case the information is transmitted by radio, OR b) the balise group transmitting the information, in case the information is transmitted by balise group, OR c) any balise group not yet passed at the time of reception of the information.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00155,"3.6.6.4.1 In case the information is received by radio and at least one of the announced geographical position reference balise group(s) is part of the last repo rted balise groups memorised on-board, the on-board equipment shall use the data related to the most recently reported balise group.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00156,"3.6.6.4.2 From the currently stored geographical position information, t he track kilometre reference given for a geographical referen ce location shall be come applicable if the train has detected the related geographical reference balise group and has travelled the offset distance from this reference balise group.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00157,3.6.6.4.3 The announced and not applicable geographical references shall be deleted on-board if the train changes orientation.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00158,3.6.6.5 The distance travelled from the geographical reference location shall be taken into account when calculating the geographical position.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00159,"3.6.6.7 In cases where single balise groups are used as a reference for geographical position information and where no linking info rmation is available (and therefore no orientation can be assigned to the balise group), the on -board equipment shall ignore the geographical position information related to these single balise groups.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00160,3.6.6.9 The on-board equipment shall co ntinue calculating the position from a track kilometre reference (i.e.,SUBSET-026-3 v360.pdf,,,Review,Review
REQ_00162,3.6.6.10 The following data shall be included in a mess age for geographical position (for every track kilometre reference):  Identity of the geographical position reference balise group  Distance from geographical position reference balise group to the track kilometre reference (offset)  Value of the track kilometre reference  Counting direction of the track kilometre in relation to the geographical position reference balise group orientation.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00164,"The following information shall be given from the trackside a) Permission and distance to run, the Movement Authority (MA) (see section 3.8) b) When needed, limitations related to the movement authority, i.e.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00165,Mode profile and Signalling related Speed restriction shall always be sent together with the MA to which the information belongs c) Track description covering as a minimum the whole distance defined by the MA.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00166,"3.7.2 Responsibility for completeness of information 3.7.2.1 The Movement Authority (MA) shall be given to the on-board equipment  Together with the other information ( as listed in section 3.7.1.1 c) and d)) or  Separately, if the other information has already been correctly received by the on- board equipment.",SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00167,3.7.2.2 The trackside shall be responsible fo r that the on -board equipment has received the information valid for the distance covered by the Movement Authority.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00168,"3.7.2.2.1 In case of LOA, trackside shall be responsible for including any track description beyond the LOA relevant for calculating safe supervision limits.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00169,"3.7.2.3 The MA and the related mode profile, if any, shall not be accepted by the on -board equipment if the SSP and gradient already available on -board or given together with the MA do not cover the full length of the MA.",SUBSET-026-3 v360.pdf,,,Operational,Operational
REQ_00170,3.7.2.4 It shall be possible for the trackside to send additional information when needed.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00172,b) New Gradient Profile information shall replace all stored Gradient Profile information from the start location of the new information.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00173,c) New Axle Load Speed Profile information shall replace all stored Axle Load Speed Profile information from the start location of the first element of the new information.,SUBSET-026-3 v360.pdf,,,Performance,Performance
REQ_00174,d) New Speed Restriction to ensure Permitted Braking Distance information shall replace all stored Speed Restriction to ensure Permitted Braking Distance information from the start location of the first element of the new information.,SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00175,e) New track condition Change of Traction System information shall replace all stored Change of Traction System information.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00176,f) New track condition Big Metal Masses information shall replace all stored Big Metal Masses information from the start location of the first element of the new information.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00177,"g) New track condition information of at least one of the types listed here, i.e., sound horn, non stopping area, tunnel stopping area, powerless section - lower pantograph, powerless section - switch off the main power switch, radio hole, air tightness, switch off regenerative brake, switch off eddy current brake for service brake, switch off eddy current brake for emergency brake, switch off magnetic shoe brake, shall replace all stored track condition information of the listed types from the start location of the first element of the new information.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00178,h) New route suitability loading gauge information shall replace all stored route suitability loading gauge information.,SUBSET-026-3 v360.pdf,,,Functional,Functional
